replica,gen,avg_fit,max_fit,normal_fit,zombie_fit,normal_n,zombie_n,normal_alive,zombie_alive,avg_gap,avg_viability
0,0,0.486370,0.804725,0.482804,0.489707,58,62,57,59,0.431330,0.289267
0,1,0.532273,1.846286,0.580492,0.501228,47,73,47,73,0.353138,0.287864
0,2,0.576559,2.838130,0.596451,0.547734,71,49,68,48,0.532706,0.262817
0,3,0.681967,3.630817,0.751355,0.557716,77,43,74,41,0.576989,0.243655
0,4,0.661159,3.258452,0.703235,0.483708,97,23,97,22,0.728830,0.271673
0,5,0.731590,3.541829,0.735289,0.513322,118,2,113,2,0.892586,0.217712
0,6,0.687361,2.659017,0.687361,0.000000,120,0,119,0,0.906166,0.188574
0,7,0.736250,1.816307,0.736250,0.000000,120,0,120,0,0.905648,0.139118
0,8,0.745345,3.320780,0.745345,0.000000,120,0,120,0,0.925537,0.226873
0,9,0.775424,3.007417,0.775424,0.000000,120,0,120,0,0.928408,0.182498
0,10,0.696173,2.490615,0.696173,0.000000,120,0,120,0,0.935731,0.183831
0,11,0.752278,2.480190,0.752278,0.000000,120,0,120,0,0.947096,0.164738
0,12,0.936628,3.762493,0.936628,0.000000,120,0,120,0,0.949838,0.123900
0,13,0.820584,2.936723,0.820584,0.000000,120,0,120,0,0.952537,0.162077
0,14,0.928757,3.319225,0.928757,0.000000,120,0,119,0,0.961422,0.146690
0,15,0.862985,3.027512,0.862985,0.000000,120,0,119,0,0.967757,0.120981
0,16,0.906494,2.910773,0.906494,0.000000,120,0,119,0,0.975432,0.130643
0,17,0.932861,3.340686,0.932861,0.000000,120,0,119,0,0.974854,0.088749
0,18,1.071067,3.679698,1.071067,0.000000,120,0,119,0,0.978869,0.079126
0,19,0.965667,3.076781,0.965667,0.000000,120,0,120,0,0.979156,0.073082
0,20,0.743889,2.414726,0.743889,0.000000,120,0,117,0,0.984109,0.058203
0,21,0.918789,3.308739,0.918789,0.000000,120,0,118,0,0.987286,0.077222
0,22,1.063175,3.548198,1.063175,0.000000,120,0,120,0,0.989029,0.062476
0,23,0.914402,3.524559,0.914402,0.000000,120,0,118,0,0.993667,0.064230
0,24,0.770976,3.576122,0.770976,0.000000,120,0,116,0,0.992575,0.057921
0,25,0.804648,2.612884,0.804648,0.000000,120,0,113,0,0.994509,0.039786
0,26,0.885665,3.177249,0.885665,0.000000,120,0,119,0,0.996006,0.034793
0,27,0.799402,3.129860,0.799402,0.000000,120,0,119,0,0.997894,0.024913
0,28,0.972873,5.599457,0.972873,0.000000,120,0,118,0,0.997919,0.031284
0,29,0.881498,3.266831,0.881498,0.000000,120,0,119,0,0.997746,0.011520
0,30,0.915834,3.181374,0.915834,0.000000,120,0,117,0,0.996158,0.014243
0,31,0.779838,2.557326,0.779838,0.000000,120,0,109,0,0.997509,0.012342
0,32,0.817768,3.927808,0.817768,0.000000,120,0,120,0,0.997073,0.007817
0,33,0.953482,3.350742,0.953482,0.000000,120,0,120,0,0.998833,0.004847
0,34,0.966382,3.286957,0.966382,0.000000,120,0,120,0,0.999489,0.003036
0,35,0.804853,3.231379,0.804853,0.000000,120,0,111,0,0.997206,0.004843
0,36,0.891255,3.052163,0.891255,0.000000,120,0,120,0,0.998308,0.001933
0,37,0.953436,3.427974,0.953436,0.000000,120,0,119,0,0.997785,0.001459
0,38,0.791344,2.508511,0.791344,0.000000,120,0,114,0,0.999794,0.002291
0,39,0.987763,2.878854,0.987763,0.000000,120,0,120,0,0.998976,0.000802
0,40,0.942102,3.325848,0.942102,0.000000,120,0,119,0,0.998689,0.000818
0,41,0.898616,2.628023,0.898616,0.000000,120,0,119,0,0.998881,0.000430
0,42,0.936996,2.849786,0.936996,0.000000,120,0,117,0,0.998465,0.000487
0,43,0.955432,2.980823,0.955432,0.000000,120,0,119,0,0.998834,0.000464
0,44,1.192523,3.285047,1.192523,0.000000,120,0,120,0,0.999063,0.000315
0,45,0.879321,2.576776,0.879321,0.000000,120,0,119,0,0.999803,0.000589
0,46,1.120303,3.074702,1.120303,0.000000,120,0,119,0,1.000000,0.000168
0,47,1.069553,3.293121,1.069553,0.000000,120,0,119,0,0.999186,0.000170
0,48,1.247949,3.370957,1.247949,0.000000,120,0,119,0,0.999658,0.000134
0,49,1.099630,3.445682,1.099630,0.000000,120,0,118,0,0.999727,0.000073
0,50,1.233069,3.088319,1.233069,0.000000,120,0,117,0,0.999781,0.000102
0,51,1.042953,2.599411,1.042953,0.000000,120,0,114,0,0.999918,0.000091
0,52,1.166997,2.910804,1.166997,0.000000,120,0,120,0,0.999920,0.000062
0,53,1.435519,3.485353,1.435519,0.000000,120,0,120,0,1.000000,0.000049
0,54,1.380377,3.328459,1.380377,0.000000,120,0,119,0,1.000000,0.000024
0,55,1.381212,3.500054,1.381212,0.000000,120,0,120,0,0.999642,0.000022
0,56,1.237787,3.460881,1.237787,0.000000,120,0,120,0,1.000000,0.000025
0,57,1.279703,3.372074,1.279703,0.000000,120,0,120,0,1.000000,0.000017
0,58,1.110378,3.250285,1.110378,0.000000,120,0,114,0,0.999943,0.000013
0,59,1.384924,3.580110,1.384924,0.000000,120,0,120,0,1.000000,0.000009
0,60,1.240254,3.033182,1.240254,0.000000,120,0,118,0,1.000000,0.000008
0,61,1.253475,3.368072,1.253475,0.000000,120,0,120,0,0.999616,0.000006
0,62,1.094920,3.153430,1.094920,0.000000,120,0,116,0,1.000000,0.000003
0,63,1.189278,3.370762,1.189278,0.000000,120,0,118,0,1.000000,0.000004
0,64,1.464234,3.256666,1.464234,0.000000,120,0,119,0,0.999645,0.000003
0,65,1.458653,3.447026,1.458653,0.000000,120,0,119,0,1.000000,0.000002
